fieldID,imagepath,labelpath,datepath
16977,data16/16977_sits.npy,data16/16977_labels.npy,data16/16977_dates.npy
16978,data16/16978_sits.npy,data16/16978_labels.npy,data16/16978_dates.npy
16979,data16/16979_sits.npy,data16/16979_labels.npy,data16/16979_dates.npy
16980,data16/16980_sits.npy,data16/16980_labels.npy,data16/16980_dates.npy
16981,data16/16981_sits.npy,data16/16981_labels.npy,data16/16981_dates.npy
16982,data16/16982_sits.npy,data16/16982_labels.npy,data16/16982_dates.npy
16983,data16/16983_sits.npy,data16/16983_labels.npy,data16/16983_dates.npy
16984,data16/16984_sits.npy,data16/16984_labels.npy,data16/16984_dates.npy
16985,data16/16985_sits.npy,data16/16985_labels.npy,data16/16985_dates.npy
16986,data16/16986_sits.npy,data16/16986_labels.npy,data16/16986_dates.npy
16987,data16/16987_sits.npy,data16/16987_labels.npy,data16/16987_dates.npy
16990,data16/16990_sits.npy,data16/16990_labels.npy,data16/16990_dates.npy
17152,data16/17152_sits.npy,data16/17152_labels.npy,data16/17152_dates.npy
17153,data16/17153_sits.npy,data16/17153_labels.npy,data16/17153_dates.npy
17154,data16/17154_sits.npy,data16/17154_labels.npy,data16/17154_dates.npy
17155,data16/17155_sits.npy,data16/17155_labels.npy,data16/17155_dates.npy
17156,data16/17156_sits.npy,data16/17156_labels.npy,data16/17156_dates.npy
17157,data16/17157_sits.npy,data16/17157_labels.npy,data16/17157_dates.npy
17158,data16/17158_sits.npy,data16/17158_labels.npy,data16/17158_dates.npy
17159,data16/17159_sits.npy,data16/17159_labels.npy,data16/17159_dates.npy
17160,data16/17160_sits.npy,data16/17160_labels.npy,data16/17160_dates.npy
17161,data16/17161_sits.npy,data16/17161_labels.npy,data16/17161_dates.npy
17327,data16/17327_sits.npy,data16/17327_labels.npy,data16/17327_dates.npy
17328,data16/17328_sits.npy,data16/17328_labels.npy,data16/17328_dates.npy
17329,data16/17329_sits.npy,data16/17329_labels.npy,data16/17329_dates.npy
17331,data16/17331_sits.npy,data16/17331_labels.npy,data16/17331_dates.npy
